Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,Day,Mag_std,Activity,n_rows,start_time,end_time
10.901960784313726,9.028571428571428,17.393939393939394,1.0555555555555556,86.06967213114754,,1.0,1.0,1.0,16.305978260869566,1.0,26.681275027376106,light movement,244,10:49:35,10:54:33
42.295336787564764,41.38505747126437,54.03529411764706,1.2105263157894737,95.22448979591837,,1.0,1.0,1.0,73.53032558139533,1.0,70.75134222335025,light movement,245,10:54:40,10:59:39
69.32631578947368,77.71111111111111,75.89690721649484,1.0612244897959184,77.51020408163265,,1.0,1.0,1.0,126.30009615384617,1.0,93.27681340108047,sitting,245,12:33:43,12:38:42
12.0,,,,60.53556485355649,,1.0,1.0,1.0,12.0,1.0,2.0,sitting,239,12:38:43,12:43:42
25.0,13.0,5.5,1.0,64.30125523012552,,1.0,1.0,,18.19666666666667,1.0,22.202192584417325,sitting,239,12:43:43,12:48:42
34.22222222222222,4.0,8.625,1.0,64.45188284518828,,1.0,1.0,1.0,32.828,1.0,40.67157970868602,sitting,239,12:48:43,12:53:42
45.285714285714285,58.75,20.5625,1.0,64.48953974895397,,1.0,1.0,1.0,55.21318181818182,1.0,54.715350462549985,sitting,239,12:53:43,12:58:42
81.07692307692308,92.28571428571429,66.0,1.25,67.15918367346939,1.0,1.0,1.0,1.0,122.13568181818181,1.0,115.3073163017722,sleeping,245,13:03:43,13:08:42
56.94444444444444,58.36363636363637,54.78125,1.0,69.76326530612245,1.0,1.0,1.0,1.0,81.46073170731708,1.0,90.15999265236417,sleeping,245,13:08:43,13:13:42
49.833333333333336,42.675,70.30851063829788,1.048780487804878,86.2408163265306,1.0,1.0,1.0,1.0,91.68126213592232,1.0,74.07092617371714,eating,245,13:18:43,13:23:42
45.220588235294116,49.39473684210526,89.33812949640287,1.064516129032258,87.78775510204082,,1.0,1.0,1.0,110.01826666666665,1.0,93.50114834764805,eating,245,13:23:43,13:28:42
49.75342465753425,47.11607142857143,65.70700636942675,1.0153846153846153,84.72950819672131,1.0,1.0,1.0,1.0,91.59571428571428,1.0,74.93874544277756,eating,244,13:28:43,13:33:42
49.47107438016529,46.205882352941174,45.37391304347826,1.1020408163265305,84.8811475409836,1.0,1.0,1.0,1.0,75.9975,1.0,70.91519327949158,eating,244,13:33:49,13:38:48
52.279620853080566,58.47663551401869,67.1574074074074,1.116504854368932,83.56734693877551,,1.0,1.0,1.0,108.79168888888887,1.0,76.91101646732113,eating,245,13:38:49,13:43:48
41.49242424242424,54.275590551181104,50.2992700729927,1.0483870967741935,85.30472103004291,1.0,1.0,1.0,1.0,85.37375,1.0,71.75358100189422,sleeping,233,13:48:49,13:53:42
30.37037037037037,33.888888888888886,43.18666666666667,1.0,69.04621848739495,1.0,1.0,1.0,1.0,55.785569620253156,1.0,43.11173809282564,sleeping,238,13:53:52,13:58:51
55.5655737704918,53.19827586206897,83.32167832167832,1.078125,80.49586776859505,1.0,1.0,1.0,1.0,111.90006666666667,1.0,88.44243588155078,sleeping,242,13:58:52,14:03:51
52.90728476821192,57.583333333333336,74.04,1.0714285714285714,78.57142857142857,1.0,1.0,1.0,1.0,106.82554878048781,1.0,92.06444910676969,sleeping,245,14:03:52,14:08:51
59.735632183908045,68.03703703703704,61.072916666666664,1.0810810810810811,76.5469387755102,1.0,1.0,1.0,1.0,101.05885714285711,1.0,89.69191772596093,sleeping,245,14:08:58,14:13:57
63.111111111111114,59.333333333333336,60.15384615384615,1.0,64.77824267782427,,1.0,1.0,1.0,78.22785714285715,1.0,85.80155269811941,nan,239,14:18:58,14:23:57
76.23076923076923,63.666666666666664,68.06060606060606,1.125,67.73469387755102,,1.0,1.0,1.0,109.5812121212121,1.0,107.04577553148384,nan,245,14:23:58,14:28:57
86.11428571428571,79.0,74.87096774193549,1.0588235294117647,70.80408163265307,1.0,1.0,1.0,1.0,131.94371428571426,1.0,109.03164012827297,nan,245,14:29:04,14:34:03
63.333333333333336,66.37037037037037,62.54545454545455,1.0,69.64255319148936,,1.0,1.0,1.0,101.20630434782608,1.0,93.85645365590955,nan,235,14:34:04,14:39:03
15.6,36.0,26.6,1.0,67.0530612244898,,1.0,1.0,,36.97142857142857,1.0,28.642288629911956,nan,245,14:39:04,14:44:03
12.5,80.83333333333333,16.333333333333332,,66.14644351464435,,1.0,1.0,,82.845,1.0,67.1562193074228,nan,239,14:44:04,14:49:03
87.125,83.66666666666667,37.77777777777778,1.0,67.33891213389121,,1.0,1.0,,115.39000000000001,1.0,89.04935519137688,nan,239,14:49:04,14:54:03
,,,,70.20816326530613,1.0,,1.0,,,1.0,,nan,245,14:54:04,14:59:03
53.60606060606061,76.54166666666667,77.9375,1.0,74.9504132231405,1.0,1.0,1.0,1.0,101.34825000000001,1.0,90.29838669343711,sleeping,242,15:04:04,15:09:01
47.52054794520548,35.52542372881356,77.78571428571429,1.0294117647058822,81.53061224489795,1.0,1.0,1.0,1.0,94.72045454545454,1.0,78.61789739431143,sleeping,245,15:09:08,15:14:07
